id;year_published;ISBN;SISO;AVI;category_youth;EAN_wrong;ISSN_wrong;ZIZO;literarytype;SISO_libraries;title;type;category_music;language;keywords_youth;ISSN;author_type;series_title;publisher;age;keywords_local;category_adults;pages;keyword_adults;series_edition;ISBN_wrong;keywords_libraries;author_lastname;EAN;author_firstname;keyword_youth
2^1;[s.d.];90-235-0242-6;;;;;;;;;Gods dwazen;Boek;;Nederlands;;;auteur;;Zuid-Hollandsche Uitgeversmaatschappij;;;;261 p.;;;;;Ballinger;;W.A.;
2^1000007;2009;;;;;;;;;;Handel;CD;;Onbekend;;;componist;Tamerlano, HWV. 18. Ciel e terra armi di sdegno;Deutsche Grammophon;;;;;;;;;H‰ndel;28947780571;Georg Friedrich;
2^1000009;2008;9789029565714;;;;;;;fictie;;Het meesterstuk;Boek;;Nederlands;;;auteur;;De Arbeiderspers;;;;292 p.;Mozart, Wolfgang Amadeus (1756-1791) ; Don Giovanni;32ste dr., [geheel herz. ed.];;;Enquist;;Anna
2^1000012;2009;;;;;;;;;;Saxology;CD;;Onbekend;;;uitvoerder;;Steeple Chase;;;;;;;;;Bergonzi;716043165827;Jerry;
2^1000013;2008;9789023436447;;;;;;;fictie;;De procedure;Boek;;Nederlands;;;auteur;;De Bezige Bij;;;IdeeÎnliteratuur;301 p.;Schrijverschap;;;;Mulisch;;Harry;
2^1000014;2008;;;;;;;;;;100% swing;CD;;Onbekend;;;;;EMI;;;;;;;;;;5099924252522;;
2^1000015;2008;;;;;;;;;;100% smooth jazz;CD;;Onbekend;;;;;EMI;;;;;;;;;;5099924256124;;
2^1000018;2009;;;;;;;;;;Sonate op. 78;CD;;Onbekend;;;componist;Sonate voor piano, D. 894, op. 78 in G gr.;Harmonia mundi;;;;;;;;;Schubert;794881911226;Franz;
2^1000020;2008;;;;;;;;;;Postwar recordings 1944-1953;CD;;Onbekend;;;uitvoerder;;JSP;;;;;;;;;Reinhardt;788065905521;Django;
2^1000021;2009;;;;;;;;;;Figments and fragments;CD;;Onbekend;;;componist;;2L;;;;;;;;;Carter;7041888513223;Elliott;
2^1000022;2009;;;;;;;;;;Concerti con oboe;CD;;Onbekend;;;componist;Concerto voor hobo en strijkorkest, op. 7, nr. 3 in Bes gr.;Fuga Libera;;;;;;;;;Albinoni;5400439005549;Tomaso;
2^1000031;2002;9789030380177;;;;;;;fictie;;Bloedlink;Strip;;Nederlands;;;scenario van;;Casterman;;;Stripverhalen;56 p.;;;;;Matz;;Luc;
2^1000032;2008;9789025844349;;;Avonturenverhalen;;;;fictie;;Paniek in de Leeuwenkuil;Boek;;Nederlands;;;auteur;;Leopold;vanaf 7 jaar;;;116 p.;;;;;Van Loon;;Paul;Dierentuinen
2^1000034;2008;;;;;;;;;;Neffesh music;CD;;Onbekend;;;uitvoerder;;Great Winds;;;;;;;;;Seffer;3426300031198;Yochk;
2^1000035;2005;;;;;;;;;;East coasting;CD;;Onbekend;;;uitvoerder;;Bethlehem;;;;;;;;;Mingus;826663764529;Charles;
2^1000036;2009;9789048702114;;;Sprookjes;;;;fictie;;De wolf en de zeven geitjes;Boek;;Nederlands;;;auteur;;Zwijsen;vanaf 5 jaar;;;[36] p.;;;;;Letterie;;Martine;
2^1000038;2003;9789030380184;;;;;;;fictie;;Met de dood in het hart;Strip;;Nederlands;;;scenario van;;Casterman;;;Stripverhalen;56 p.;;;;;Matz;;Luc;
2^1000039;2009;;;;;;;;;;The best of 70 years Blue Note;CD;;Onbekend;;;;;Blue Note;;;;;;;;;;5099996484425;;
2^1000040;2009;9789061006343;151;;;;;MCMEBU;non-fictie;;Erasmus op de markt;Boek;;Nederlands;;;auteur;;Donker;;;;120 p.;;1;;;Koning;;Paula;
2^1000042;2008;9789020969832;462.3;;;;;LGHAMH;non-fictie;;Kinderen met Down;Boek;;Nederlands;;;auteur;;Lannoo;;;;296 p.;;;;;Van Hooste;;Ann;
2^1000044;cop. 2009;9789025960049;454.23;;;;;;non-fictie;;Succes op school;Boek;;Nederlands;;;auteur;;Ten Have;;;;124 p.;;;;;Schoenaker;;Theo;
2^1000046;cop. 2008;9789047701217;829.2;;;;;FIFIFI;non-fictie;;Wind!;Boek;;Nederlands;;;auteur;;Lemniscaat;;;;214 p.;;;;;Meeuse;;Piet;
2^1000047;cop. 2009;9789047200888;418.11;;;;;REPRMZ;non-fictie;;Mannen in soorten en maten;Boek;;Nederlands;;;auteur;;Artemis;;;;319 p.;;;;;Brenters;;Marlies;
2^1000048;2009;9789079592166;;;;;;;fictie;;Vele levens;Boek;;Nederlands;;;auteur;;Lampedaire;;;Autobiografische literatuur;208 p., [8] p. pl.;Hermans, Margriet;;;;Hermans;;Margriet;
2^1000054;2009;;;;;;;;;;Cantatas;CD;;Onbekend;;;componist;Cantate voor soli [4], koor en orkest, BWV. 13 ;Accent;;;;;;;;;Bach;4015023253087;Johann Sebastian;
2^1000056;2009;9789022549438;;;;;;;fictie;;Zomers licht;Boek;;Nederlands;;;auteur;;De Boekerij;;;Streek- en familieromans;412 p.;;2de dr.;;;Hore;;Rachel;
2^1000058;2009;;;;;;;;;;In the upper room;CD;;Onbekend;;;componist;In the upper room;Orange Mountain Music;;;;;;;;;Glass;801837005622;Philip;
2^1000061;2004-;;;;;;;;;340.2;Kwartaalschrift economie;Tijdschrift;;Nederlands;;0013-0486;;;Stichting Maandschrift Economie;;;;;;;;Bedrijfseconomie;;;;
2^1000062;s.d.;;;;;10110677;;;;369.1;Tijdschrift voor marketing;Tijdschrift;;Nederlands;;0165-1439;;;Kluwer Bedrijfswetenschappen;;;;;;;;Marketing;;;;
2^1000064;2009;;;;;;;;;;The seven last words of Christ on the cross;CD;;Onbekend;;;componist;Die sieben letzten Worte unseres Erlˆsers am Kreuze, Hob.XX, nr. 1;Glossa;;;;;;;;;Haydn;8424562211094;Joseph;
2^1000065;1965-;;;;;;;;;369.1;Marketing international;Tijdschrift;;Nederlands;;1570-8799;;;Kluwer;;;;;;;;Marketing;;;;
2^1000066;cop. 2009;9789032511364;;;;;;;fictie;;Porselein;Boek;;Nederlands;;;auteur;;De Kern;;;;367 p.;Sri Lanka ; 20ste eeuw;;;;Tearne;;Roma
2^1000067;2003-;;;;;;;;;317.3;Forward;Tijdschrift;;Nederlands;;0771-2987;;;VBO;;;;;;;;BelgiÎ ; economie;;;
2^1000068;2009;9789020408164;;;;;;;fictie;;De nieuwe fiets;Boek;;Nederlands;;;auteur;;Veen;;;Reisverhalen;221 p.;Europa ; reisverhalen;;;;Roeleven;;Dirk Jan
2^1000069;2008;;;;;;;;;;The history of jazz;CD;;Onbekend;;;;;Verve;;;;;;;;;;602498470640;;
2^1000070;1947-2003;;;;;;;;;340.2;Economisch en sociaal tijdschrift;Tijdschrift;;Nederlands;;0013-0575;;;UFSIA;;;;;;;;Sociale wetenschappen;;;;
2^1000077;2009;;;;;;;;;;Brandenburg concertos;CD;;Onbekend;;;componist;Brandenburgisches Konzert, nr. 1, BWV. 1046 in F gr.;Harmonia mundi;;;;;;;;;Bach;93046746162;Johann Sebastian;
